,news,type
39,"Booming markets shed few tears
The MSCI World share index, a measure of global stock market performance, hit its highest level this week since early 2001; the BBC Global 30 has risen by 3% in the past week.""Although it is commonly assumed on the basis of anecdotal evidence that disasters result in business failures and bankruptcies on a large scale, our research indicates that most businesses, even those that are especially hard-hit, do indeed recover,"" the authors concluded.A series of recent shocks, the Colorado centre has argued, have demonstrated that this seamless global contagion hardly ever happens: market tremors rarely translate into economic slumps, and economic woes rarely seriously undermine markets.",business
40,"UK homes hit £3.3 trillion total
More than a third of the UK's private housing assets - representing more than a trillion pounds in value - are concentrated in London and the South East, the Halifax's figures indicate.Tim Crawford, Group Economist at Halifax, said: ""The value of the private housing stock continues to grow and the family home remains, by a large margin, the most valuable asset of the majority of households in the UK."" 
 The value of the UK's housing stock reached the £3.3 trillion mark in 2004 - triple the value 10 years earlier, a report indicates.",business
41,"Survey confirms property slowdown
After registering falls at the back end of 2004, Halifax said house prices rose by 0.8% in January and Nationwide reported a rise of 0.4% in the first month of the year.Although the figures point to a slowdown in the market, the most recent surveys from Nationwide and Halifax have indicated the market may be undergoing a revival.House prices were 11.8% higher on the year in the last quarter of 2004, down from 16.3% in the July-to-September quarter, the Land Registry said.",business
42,"Japanese mogul arrested for fraud
Mr Tsutsumi's fall from grace follows the arrests of several other top executives in Japan as the authorities try to curb the murky business practices which were once widespread in Japanese companies.Last year, twelve managers from Mitsubishi Motors were charged with covering up safety defects in their vehicles and three executives from Japan's troubled UFJ bank were charged with concealing the extent of the bank's bad loans.
The illegitimate third son of a rich father, who made his money buying up property as Japan rebuilt after World War II, he has described the demands his father made.",business
43,"MCI shares climb on takeover bid
Other firms have also expressed an interest in MCI, the second-largest US long-distance phone firm, and may now table rival bids, analysts said.Press reports suggest that Qwest and MCI may reach an agreement as early as next week, although rival bids may muddy the waters. 
 Shares in US phone company MCI have risen on speculation that it is in takeover talks.",business
44,"Winter freeze keeps oil above $50
Expectations that a rebound in the dollar would halt the oil price rise were not immediately borne out on Wednesday morning, as oil prices carried on upwards as the dollar strengthened against the euro, the pound and the yen. 
 Oil prices carried on rising on Wednesday after cold weather on both sides of the North Atlantic pushed US crude prices to four-month highs.Several Opec members said on Tuesday that a cut in production was unlikely, citing rising prices and strong demand for oil from Asia.",business
45,"Golden rule boost for Chancellor
unicode error",business
46,"Nasdaq planning $100m-share sale
 
 The owner of the technology-dominated Nasdaq stock index plans to sell shares to the public and list itself on the market it operates.According to a registration document filed with the Securities and Exchange Commission, Nasdaq Stock Market plans to raise $100m (£52m) from the sale.It technically went public in 2002 when the stock started trading on the OTC Bulletin Board, which lists equities that trade only occasionally.",business
47,"Small firms 'hit by rising costs'
When firms were questioned on output volume, the survey returned a balance of plus 8 - the highest rate of increase for seven years - and rose to plus 11 when looking ahead to the next three months.
A CBI quarterly survey found output had risen by the fastest rate in seven years but many firms were seeing the benefits offset by increasing expenses.The CBI found some firms managed to increase prices for the first time in nine years - but many said increases failed to keep up the rise in costs.",business
48,"Call centre users 'lose patience'
In what Dimension Data calls an ""alarming development"", the average induction time for a call centre worker fell last year from 36 to just 21 days, leaving ""agents not equipped to deal with customers"".Suggestions that ""outsourcing"" - relocating call centres to low-cost countries like India or South Africa - is to blame are wrong, Ms Diemont says.As a result, call centres have a high ""churn rate"", with nearly a quarter of workers throwing in the towel every year, which in turn forces companies to pay for training new staff.",business
49,"Worldcom ex-boss launches defence
The prosecution's star witness, former WorldCom financial chief Scott Sullivan, has said that Mr Ebbers ordered accounting adjustments at the firm, telling him to ""hit our books"".Ms Cooper also said that during shareholder meetings Mr Ebbers often passed over technical questions to the company's finance chief, giving only ""brief"" answers himself.However, Ms Cooper said Mr Sullivan had not mentioned ""anything uncomfortable"" about WorldCom's accounting during a 2001 audit committee meeting.",business
50,"Giant waves damage S Asia economy
Tourism is a vital part of the economies of the stricken countries, providing jobs for 19 million people in the south east Asian region, according to the World Travel and Tourism Council (WTTC).Many of the worst-hit areas, such as Sri Lanka, Thailand's Phuket island and the Maldives, are popular tourist resorts that are key to local economies.""The region that's affected is very big so we have to check country-by-country what the situation is"", said Serge Troeber, deputy head of the natural disasters department at Swiss Re, the world's second biggest reinsurance firm.",business
51,"Market unfazed by Aurora setback
unicode error",business
52,"Turkey knocks six zeros off lira
""The transition to the new Turkish lira shows clearly that our economy has broken the vicious circle that it was imprisoned in for long years,"" said Sureyya Serdengecti, head of the Turkish Central Bank.""The Turkish lira has been like funny money,"" Tevfik Aksoy, chief Turkish economist for Deutsche Bank, told Associated Press.""The new lira is also the symbol of the stable economy that we dreamed of for long years.""",business
53,"US prepares for hybrid onslaught
Ford, which has sold 4,000 of its first hybrid since its launch in August, is bringing a hybrid SUV - the Mariner - to market a year ahead of schedule, with plans for three more models by 2008.""The average consumers aren't willing to pay that premium for a car they won't drive more than six years,"" said Anthony Pratt from JD Power.
Carmakers are starting to build hybrid sports utility vehicles (SUVs), the four-wheel-drive vehicles which now dominate the US car market.",business
54,"Alfa Romeos 'to get GM engines'
""Powertrain told us today that Alfa Romeo engines will no longer be made in Arese,"" said union leader Vincenzo Lilliu, as reported by the Reuters news agency. 
 Fiat is to stop making six-cylinder petrol engines for its sporty Alfa Romeo subsidiary, unions at the Italian carmaker have said.""The assembly line will be dismantled and the six-cylinder Alfa Romeo motor will be replaced with an engine GM produces in Australia.""",business
55,"M&S cuts prices by average of 24%
""We have brought in quite a lot of new clothing at new price points as part of Stuart Rose's strategy of quality, style -and price,"" said the M&S spokesman.""We are bringing in ranges at new price points to compete against mid-market retailers like Next,"" said M&S.Dresdner Kleinwort Wasserstein said: ""In spite of the snow in the UK, it still feels very early to be cutting prices of spring merchandise.""",business
56,"Yukos unit fetches $9bn at auction
He said the company would continue to make ""every lawful move"" to protect tens of thousands of shareholders in Yukos from ""this forcible and illegitimate removal of their property"".""I would also not exclude that Baikal will decline to pay in 14 days, that are given by law, and Gazprom is then recognised as the winner.Meanwhile, Tim Osborne, head of Yukos main shareholders' group Menatep, said that Yukos may have to declare itself bankrupt, and that legal action would be taken, outside Russia, against the auction winners.",business
57,"China keeps tight rein on credit
A low exchange rate - China's yuan is pegged to a rate of 8.28 to the dollar, which seems to be in relentless decline - means Chinese exports are cheap on world markets.Rapid tooling-up of China's manufacturing sector means a massive demand for energy - one of the factors which has kept world oil prices sky-high for most of this year.In theory, the government has a 7% growth target, but continues to insist that the overshoot does not mean a ""hard landing"" in the shape of an overbalancing economy.",business
58,"Deutsche Boerse set to 'woo' LSE
unicode error",business
59,"Axa Sun Life cuts bonus payments
unicode error",business
60,"BMW cash to fuel Mini production
unicode error",business
61,"Brazil buy boosts Belgium's Inbev
In contrast, Inbev's European business saw volume sales fall 2.5%, although Central and Eastern European sales rose 12%.Inbev, which makes Stella Artois, said pre-tax profits for 2004 rose 56% to 1.16bn euros ($1.5bn; £800m), and said it expected solid growth in 2005. 
 Belgian brewing giant Inbev has seen its profits soar thanks to its acquisition of Brazil's biggest beer firm Ambev last year.",business
62,"Go-ahead for Balkan oil pipeline
The 912km pipeline will run from the Bulgarian port of Burgas, over the Black Sea to the Albanian city of Vlore on the Adriatic coast, crossing Macedonia.""This is one of the most important infrastructure projects for regional, EU, and Euro-Atlantic integration for the western Balkans,"" said Albanian Prime Minister Fatos Nano.He added that the company had already raised about $900m from the Overseas Private Investment Corporation (OPIC) - a US development agency - the Eximbank and Credit Suisse First Boston, among others.",business
63,"High fuel costs hit US airlines
""AMR's results for the fourth quarter of 2004 reflect the economic woes that plagued the airline industry throughout 2004 - in particular, high fuel prices and a tough revenue environment,"" he said.American Airlines' parent AMR reported a loss of $387m (£206m) for the fourth quarter of 2004, against a $111m loss for the same period a year earlier. 
 Two of the largest airlines in the US - American and Southwest - have blamed record fuel prices for their disappointing quarterly results.",business
64,"Khodorkovsky ally denies charges
 
 A close associate of former Yukos boss Mikhail Khodorkovsky has told a court that fraud charges levelled against him are ""false"".Mr Khodorkovsky began his testimony last week, telling the court that he objected to the way that the ""running of a normal business has been presented as a work of criminal fiction"".The charges are seen by supporters as politically motivated and part of a drive by Russian President Vladimir Putin to rein in the country's super-rich business leaders, the so-called oligarchs.",business
65,"WorldCom trial starts in New York
 
 The trial of Bernie Ebbers, former chief executive of bankrupt US phone company WorldCom, has started in New York with the selection of the jury.Mr Ebbers' trial, which is expected to last two months, is the latest in a series of attempts by US prosecutors to pursue senior executives for fraud.Mr Ebbers, 63, is accused of being the mastermind behind an $11bn (£6bn) accounting fraud that eventually saw the firm collapse in July 2002.",business
66,"Business fears over sluggish EU economy
But how many tourists look at the impressively grand Victorian Chambre de Commerce, which stands beside the Opera House, and consider that it was built - like the town halls in many northern English towns - on the wealth created by coal, steel and textiles?""In our business the market is absolutely global, you can not imagine living with our size (of business) even within an enlarged European Union, (if we did that) we would need not 350 people but perhaps just 150 or 200,"" he says.The Government is reforming the labour market and cutting the generous unemployment system, but the real solution is to cut the wages of low skilled workers, says Helmut Schneider, director of the Institute for the Study of Labour at Bonn University.",business
67,"Glazer makes new Man Utd approach
unicode error",business
68,"German business confidence slides
Exports had kept things going during the first half of 2004, but demand for exports was then hit as the value of the euro hit record levels making German products less competitive overseas.Economy and Labour Minister Wolfgang Clement called the dip in February's Ifo confidence figure ""a very mild decline"".Munich-based research institute Ifo said that its confidence index fell to 95.5 in February from 97.5 in January, its first decline in three months.",business
69,"UK interest rates held at 4.75%
""So far the evidence suggests that last year's rate increases have helped to rebalance the economy without damaging the recovery in manufacturing,"" said EEF chief economist, Steve Radley.""The Bank is having to juggle the emergence of inflationary pressures, driven by a tight labour market and buoyant commodity prices, against the risk of an over-abrupt slowdown in consumer activity,"" he said.CBI chief economist Ian McCafferty said the economy had ""slowed in recent months in response to rate rises"" but that it was difficult to gauge from the Christmas period the likely pace of activity through the summer.",business
70,"Circuit City gets takeover offer
""Such a transformation would eliminate the public-company transparency into the company's operating strategy that is uniquely damaging in a highly competitive industry where Circuit City is going head-to-head with a tough and entrenched rival,"" Highfield said.The bid has come from Boston-based private investment firm Highfields Capital Management, which already owns 6.7% of Circuit City's shares.Bill Armstrong, a retail analyst at CL King & Associates, said he expected to see other private investment firms come forward for Circuit City.",business
71,"India-Pakistan peace boosts trade
""If the positive trend continues, two-way trade could well cross half a billion dollars this fiscal year,"" India's federal commerce Minister Kamal Nath said.Meanwhile, the Indian Government said the prospects for the country's booming economy remained ""very bright"" despite a ""temporary aberration"" this year.According to official data, the value of India's overall exports in the current fiscal year is expected to reach more than $60bn, while in Pakistan's case it is set to hit more than $12bn.",business
72,"EMI shares hit by profit warning
""Therefore, for the full year, at constant currency, EMI Music's sales are now expected to be 8% to 9% lower than the prior year.""EMI said two major albums scheduled for release before the end of the financial year in March - one by Coldplay and one by Gorillaz - have now had their release dates put back.""EMI Music's sales, particularly re-orders, in January have also been lower than anticipated and this is expected to continue through February and March,"" the company added.",business
73,"Euronext joins bid battle for LSE
Commentators say that a deal with Euronext, which owns the Liffe derivatives exchange in London and combines the Paris, Amsterdam and Lisbon stock exchanges, could potentially offer the LSE more cost savings than a deal with Deutsche Boerse.A weekend report in the Telegraph had quoted an unnamed executive at Euronext as saying the group would make a cash bid to trump Deutsche Boerse's offer.""Because we already own Liffe in London, the cost savings available to us from a merger are far greater than for Deutsche Boerse,"" the newspaper quoted the executive as saying.",business
74,"House prices suffer festive fall
Although both the Office of the Deputy Prime Minister (ODPM) and the Land Registry figures point to a slowdown in the market, the most recent surveys from Nationwide and Halifax have indicated the market may be undergoing a revival.However, recent figures from the Land Registry - showing a big drop in sales between the last quarter of 2004 and the previous year - suggested the slowdown could be more than a seasonal blip.The average UK house price fell from £180,126 in November to £178,906, reflecting recent Land Registry figures confirming a slowdown in late 2004.",business
75,"Mitsubishi in Peugeot link talks
Analysts said that alliances with other carmakers would be a necessary part of whatever it came up with, not least because its own slow sales have left its manufacturing capacity under-used.
Mitsubishi's sales have slid 41% in the past year, catalysed by the revelation that the company had systematically been hiding records of faults and then secretly repairing vehicles.But a spokesman refused to comment on speculation that Mitsubishi could end up building cars for PSA and perhaps its Japanese rival Nissan.",business
76,"Consumers drive French economy
""France still has a strong economic growth,"" said Marc Toutai, an economist at Natexis Banques Populaires. 
 France's economic growth accelerated in the last three months of 2004, driven by consumer spending, a report shows.""It's an economic growth that seems well balanced,"" said Nicolas Claquin, an analyst at CCF.",business
77,"Bad weather hits Nestle sales
unicode error",business
78,"India power shares jump on debut
 
 Shares in India's largest power producer, National Thermal Power Corp (NTPC) have risen 13% on their stock market debut.It was India's second $1bn stock debut in three months, coming after the flotation by software firm Tata.The 865 million share offer, a mix of new shares and sales by the government, raised 54bn rupees($1.2bn).",business
79,"Europe asks Asia for euro help
""Asia should engage in greater currency flexibility,"" said French finance minister Herve Gaymard, after a meeting with his German counterpart Hans Eichel.Markets responded by pushing the euro lower, in the expectation that the rhetoric - and the pressure - is unlikely to ease ahead of a meeting of the G7 industrialised countries next week. 
 European leaders say Asian states must let their currencies rise against the US dollar to ease pressure on the euro.",business
80,"China now top trader with Japan
unicode error",business
81,"Dollar hits new low versus euro
Investors are betting that the European Central Bank (ECB) will not do anything to weaken the euro, while the US is thought to favour a declining dollar.The US is struggling with a ballooning trade deficit and analysts said one of the easiest ways to fund it was by allowing a depreciation of the dollar.""It's not going to take much to push [the dollar] one way or the other,"" said Grant Wilson of Mellon Bank.",business
82,"China continues breakneck growth
""We need a good and feasible plan and formulating such a plan also needs time,"" National Bureau of Statistics chief Li Deshui told Reuters.And overall investment in fixed assets was still high, up 21.3% from the previous year - although some way off the peak of 43% seen in the first quarter of 2004.Growth in industrial output - the main target of government efforts to impose curbs on credit and investments - was 11.5% in 2004, down from 17% the previous year.",business
83,"GM pays $2bn to evade Fiat buyout
Instead, GM swapped a 6% stake in itself for 20% of Fiat - and gave Fiat a ""put option"" to sell GM the rest of the car maker between January 2004 and July 2009.""We needed scale in Europe to get costs down, and we were able to do that in working with Fiat,"" said GM chief executive Rick Wagoner. 
 General Motors of the US is to pay Fiat 1.55bn euros ($2bn; £1.1bn) to get out of a deal which could have forced it to buy the Italian car maker outright.",business
84,"Crude oil prices back above $50
 
 Cold weather across parts of the United States and much of Europe has pushed US crude oil prices above $50 a barrel for the first time in almost three months.""I agree that we do not need to cut supply if the prices are as much as this,"" Fathi Bin Shatwan, Libya's oil minister, told Reuters.""The dollar moved sharply overnight and oil is following it,"" said Chris Furness, senior market strategist at 4Cast.",business
85,"Iraqi voters turn to economic issues
National Bank of Kuwait has bought a majority stake in Credit Bank of Iraq, the Jordanian investment bank Export & Finance Bank has bought 49% of National Bank of Iraq.""First rule of law, then the economy,"" says Radwan Hadi, deputy managing director of Aberdeen-based oil and gas consultancy Blackwatch Petroleum Services, which entered Iraq in 2003.""It is seen as a selling off of Iraq's assets and bringing in multinationals at the expense of Iraqi businesses and Iraqi workers,"" she says.",business
86,"China bans new tobacco factories
""China won't allow any new tobacco factories to be built, including joint ventures"", said Xing Wangli, a spokesman for the State Tobacco Administration Monopoly quoted in China Daily. 
 The world's biggest tobacco consumer, China, has said it will not allow any new tobacco factories to be built.""Xing's statement comes as especially bad news for British American Tobacco"", the China Daily newspaper said of the latest development.",business
87,"India and Iran in gas export deal
Iran - Opec's second-biggest oil producer and one of the world's top gas producers - has been pursuing a series of deals, rewarding LNG buyers with participation in development of its oil fields.The agreements with Iran were sealed after talks in New Delhi between Middle East producers and Asia's biggest energy consumers - China, India, Japan and South Korea.ONGC and the National Iranian Oil Company (NIOC) reached a preliminary deal for Indian firms to take part in the development of the Yadavaran and Jufeyr oilfields, both countries said in a statement.",business
88,"Barclays profits hit record level
unicode error",business
89,"Egypt and Israel seal trade deal
 
 In a sign of a thaw in relations between Egypt and Israel, the two countries have signed a trade protocol with the US, allowing Egyptian goods made in partnership with Israeli firms free access to American markets.Egyptian President Hosni Mubarak has described Israeli Prime Minister Ariel Sharon as the best chance for the Palestinians to achieve peace.It will give a huge boost to Egyptian textile exports, which are about to suffer a drop after new regulations come into force in the US at the beginning of the year.
",business
