,news,type
25,"Bank voted 8-1 for no rate change
 
 The decision to keep interest rates on hold at 4.75% earlier this month was passed 8-1 by the Bank of England's rate-setting body, minutes have shown.The Bank's minutes said that risks to the inflation forecast were ""sufficiently to the downside"" to keep rates on hold at its latest meeting.The Bank's latest inflation report, released last week, had noted that the main reason inflation might fall was weaker consumer spending.",business
26,"Although China's overall trade surplus is expanding, according to Chinese government figures, the Commerce Department revealed the US's deficit with China was $19.6bn in November, down from $19.7bn the month before.Although the White House officially still backs the US's traditional ""strong dollar"" policy, it has tacitly indicated that it would be happy if the slide continued.US trade deficit widens sharply
 
 The gap between US exports and imports has widened to more than $60bn (£31.7bn), an all-time record.",business
27,unicode error,business
28,"Hyundai to build new India plant
 
 South Korea's Hyundai Motor has announced that it plans to build a second plant in India to meet the country's growing demand for cars.""We desperately need to expand our production in order to meet growing demand in the Indian auto market, which is growing over 12 percent every year, and to top our competitors,"" chairman Chung Mong-koo said in the statement.South Korea's top car maker estimates that the Indian market will grow 15% this year, to 920,000 vehicles, reaching 1.6 million vehicles by 2010.",business
29,"Explaining why it has asked the WTO to set up a dispute settlement panel on customs barriers, the US Trade Representative's Office said that it wants to tackle the issue ""early in the EU's process of dealing with the problems of enlargement"".The EU's own institutions have noted the uneven way EU customs rules are applied but failed to act, the US Trade Representative's Office said.""Although the EU is a customs union, there is no single EU customs administration,"" a statement issued on behalf of Robert Zoellick, US Trade Representative, said.",business
30,"German jobless rate at new record
 
 More than 5.2 million Germans were out of work in February, new figures show.Speaking on German TV, Bert Ruerup said the panel's earlier forecast of 1.4% was too optimistic and warned growth would be just 1% in 2005.Widely leaked to the German newspapers a day in advance, they produced screaming headlines criticising Chancellor Gerhard Schroeder's Social Democrat-Green Party administration.",business
31,"""Creditors would seek strong financial sanctions against LG Group if LG Card is liquidated,"" said Yoo Ji-chang, governor of Korean Development Bank (KDB) - one of the card firm's major creditors.S Korean lender faces liquidation
 
 Creditors of South Korea's top credit card firm have said they will put the company into liquidation if its ex-parent firm fails to back a bail-out.LG Card's creditors have threatened parent group LG Group with penalties if it fails to respond to their demands.",business
32,"Asian banks halt dollar's slide
 
 The dollar regained some lost ground against most major currencies on Wednesday after South Korea and Japan denied they were planning a sell-off.The dollar's latest slide began after a South Korean parliamentary report suggested the country, which has about $200bn in foreign reserves, had plans to boost holdings of currencies such as the Australian and Canadian dollar.A senior Japanese Finance Ministry official told Reuters ""we have no plans to change the composition of currency holdings in the foreign reserves, and we are not thinking about expanding our euro holdings"".",business
33,"In a further blow, the firm said it had been advised that some of its franchise owners were not in compliance with their loan agreements, and warned it might need to borrow extra money if it was required to honour agreements on franchisee debts or operating leases.""There are many more questions than answers, especially given increased concerns regarding company liquidity,"" JP Morgan Securities analyst John Ivankoe said in a research note on the firm.Krispy Kreme shares hit
 
 Shares in Krispy Kreme Doughnuts have taken a dunking on Wall Street after the firm revealed it would have to restate its 2004 financial reports.",business
34,"'Post-Christmas lull' in lending
 
 UK mortgage lending showed a ""post-Christmas lull"" in January, indicating a slowing housing market, lenders have said.The CML said gross mortgage lending stood at £17.9bn, compared with £21.8bn in January last year.Both the Council of Mortgage Lenders (CML) and Building Society Association (BSA) said lending was down sharply.",business
35,unicode error,business
36,unicode error,business
37,unicode error,business
38,unicode error,business
39,"The MSCI World share index, a measure of global stock market performance, hit its highest level this week since early 2001; the BBC Global 30 has risen by 3% in the past week.Stock markets in Indonesia and India have hit all-time highs this week; even in Sri Lanka, more comprehensively affected, the main index has lost only 5% since the waves hit.""Although it is commonly assumed on the basis of anecdotal evidence that disasters result in business failures and bankruptcies on a large scale, our research indicates that most businesses, even those that are especially hard-hit, do indeed recover,"" the authors concluded.",business
40,"UK homes hit £3.3 trillion total
 
 The value of the UK's housing stock reached the £3.3 trillion mark in 2004 - triple the value 10 years earlier, a report indicates.More than a third of the UK's private housing assets - representing more than a trillion pounds in value - are concentrated in London and the South East, the Halifax's figures indicate.Tim Crawford, Group Economist at Halifax, said: ""The value of the private housing stock continues to grow and the family home remains, by a large margin, the most valuable asset of the majority of households in the UK.""",business
41,"Survey confirms property slowdown
 
 Government figures have confirmed a widely reported slowdown of the UK's housing market in late 2004.After registering falls at the back end of 2004, Halifax said house prices rose by 0.8% in January and Nationwide reported a rise of 0.4% in the first month of the year.Although the figures point to a slowdown in the market, the most recent surveys from Nationwide and Halifax have indicated the market may be undergoing a revival.",business
42,"Mr Tsutsumi's fall from grace follows the arrests of several other top executives in Japan as the authorities try to curb the murky business practices which were once widespread in Japanese companies.Last year, twelve managers from Mitsubishi Motors were charged with covering up safety defects in their vehicles and three executives from Japan's troubled UFJ bank were charged with concealing the extent of the bank's bad loans.
Japanese mogul arrested for fraud
 
 One of Japan's best-known businessmen was arrested on Thursday on charges of falsifying shareholder information and selling shares based on the false data.",business
43,"MCI shares climb on takeover bid
 
 Shares in US phone company MCI have risen on speculation that it is in takeover talks.Other firms have also expressed an interest in MCI, the second-largest US long-distance phone firm, and may now table rival bids, analysts said.Press reports suggest that Qwest and MCI may reach an agreement as early as next week, although rival bids may muddy the waters.",business
44,"Winter freeze keeps oil above $50
 
 Oil prices carried on rising on Wednesday after cold weather on both sides of the North Atlantic pushed US crude prices to four-month highs.Expectations that a rebound in the dollar would halt the oil price rise were not immediately borne out on Wednesday morning, as oil prices carried on upwards as the dollar strengthened against the euro, the pound and the yen.Several Opec members said on Tuesday that a cut in production was unlikely, citing rising prices and strong demand for oil from Asia.",business
45,unicode error,business
46,"Nasdaq planning $100m-share sale
 
 The owner of the technology-dominated Nasdaq stock index plans to sell shares to the public and list itself on the market it operates.According to a registration document filed with the Securities and Exchange Commission, Nasdaq Stock Market plans to raise $100m (£52m) from the sale.It technically went public in 2002 when the stock started trading on the OTC Bulletin Board, which lists equities that trade only occasionally.",business
47,"When firms were questioned on output volume, the survey returned a balance of plus 8 - the highest rate of increase for seven years - and rose to plus 11 when looking ahead to the next three months.
Small firms 'hit by rising costs'
 
 Rising fuel and materials costs are hitting confidence among the UK's small manufacturers despite a rise in output, business lobby group the CBI says.A CBI quarterly survey found output had risen by the fastest rate in seven years but many firms were seeing the benefits offset by increasing expenses.",business
48,"In what Dimension Data calls an ""alarming development"", the average induction time for a call centre worker fell last year from 36 to just 21 days, leaving ""agents not equipped to deal with customers"".Suggestions that ""outsourcing"" - relocating call centres to low-cost countries like India or South Africa - is to blame are wrong, Ms Diemont says.""Customers are getting used to the idea of an 'always available' society,"" says Cara Diemont of IT firm Dimension Data, which commissioned the survey.",business
49,"The prosecution's star witness, former WorldCom financial chief Scott Sullivan, has said that Mr Ebbers ordered accounting adjustments at the firm, telling him to ""hit our books"".Ms Cooper also said that during shareholder meetings Mr Ebbers often passed over technical questions to the company's finance chief, giving only ""brief"" answers himself.However, Ms Cooper said Mr Sullivan had not mentioned ""anything uncomfortable"" about WorldCom's accounting during a 2001 audit committee meeting.",business
50,"Tourism is a vital part of the economies of the stricken countries, providing jobs for 19 million people in the south east Asian region, according to the World Travel and Tourism Council (WTTC).Giant waves damage S Asia economy
 
 Governments, aid agencies, insurers and travel firms are among those counting the cost of the massive earthquake and waves that hammered southern Asia.Many of the worst-hit areas, such as Sri Lanka, Thailand's Phuket island and the Maldives, are popular tourist resorts that are key to local economies.",business
51,unicode error,business
52,"""The transition to the new Turkish lira shows clearly that our economy has broken the vicious circle that it was imprisoned in for long years,"" said Sureyya Serdengecti, head of the Turkish Central Bank.""The Turkish lira has been like funny money,"" Tevfik Aksoy, chief Turkish economist for Deutsche Bank, told Associated Press.Turkey knocks six zeros off lira
 
 Turkey is to relaunch its currency on Saturday, knocking six zeros off the lira in the hope of boosting trade and powering its growing economy.",business
53,"Ford, which has sold 4,000 of its first hybrid since its launch in August, is bringing a hybrid SUV - the Mariner - to market a year ahead of schedule, with plans for three more models by 2008.""The average consumers aren't willing to pay that premium for a car they won't drive more than six years,"" said Anthony Pratt from JD Power.
Carmakers are starting to build hybrid sports utility vehicles (SUVs), the four-wheel-drive vehicles which now dominate the US car market.",business
54,"Alfa Romeos 'to get GM engines'
 
 Fiat is to stop making six-cylinder petrol engines for its sporty Alfa Romeo subsidiary, unions at the Italian carmaker have said.""Powertrain told us today that Alfa Romeo engines will no longer be made in Arese,"" said union leader Vincenzo Lilliu, as reported by the Reuters news agency.""The assembly line will be dismantled and the six-cylinder Alfa Romeo motor will be replaced with an engine GM produces in Australia.""",business
55,"""We have brought in quite a lot of new clothing at new price points as part of Stuart Rose's strategy of quality, style -and price,"" said the M&S spokesman.M&S cuts prices by average of 24%
 
 Marks & Spencer has cut prices in London and the regions by an average of 24%, according to research from a City investment bank.Dresdner Kleinwort Wasserstein said: ""In spite of the snow in the UK, it still feels very early to be cutting prices of spring merchandise.""",business
56,"He said the company would continue to make ""every lawful move"" to protect tens of thousands of shareholders in Yukos from ""this forcible and illegitimate removal of their property"".Yukos unit fetches $9bn at auction
 
 A little-known Russian company has bought the main production unit of oil giant Yukos at auction in Moscow.Meanwhile, Tim Osborne, head of Yukos main shareholders' group Menatep, said that Yukos may have to declare itself bankrupt, and that legal action would be taken, outside Russia, against the auction winners.",business
57,"Rapid tooling-up of China's manufacturing sector means a massive demand for energy - one of the factors which has kept world oil prices sky-high for most of this year.A low exchange rate - China's yuan is pegged to a rate of 8.28 to the dollar, which seems to be in relentless decline - means Chinese exports are cheap on world markets.China keeps tight rein on credit
 
 China's efforts to stop the economy from overheating by clamping down on credit will continue into 2005, state media report.",business
58,unicode error,business
59,unicode error,business
60,unicode error,business
61,"Brazil buy boosts Belgium's Inbev
 
 Belgian brewing giant Inbev has seen its profits soar thanks to its acquisition of Brazil's biggest beer firm Ambev last year.In contrast, Inbev's European business saw volume sales fall 2.5%, although Central and Eastern European sales rose 12%.Inbev, which makes Stella Artois, said pre-tax profits for 2004 rose 56% to 1.16bn euros ($1.5bn; £800m), and said it expected solid growth in 2005.",business
62,"Go-ahead for Balkan oil pipeline
 
 Albania, Bulgaria and Macedonia has given the go ahead for the construction of a $1.2bn oil pipeline that will pass through the Balkan peninsula.The 912km pipeline will run from the Bulgarian port of Burgas, over the Black Sea to the Albanian city of Vlore on the Adriatic coast, crossing Macedonia.""This is one of the most important infrastructure projects for regional, EU, and Euro-Atlantic integration for the western Balkans,"" said Albanian Prime Minister Fatos Nano.",business
63,"High fuel costs hit US airlines
 
 Two of the largest airlines in the US - American and Southwest - have blamed record fuel prices for their disappointing quarterly results.""AMR's results for the fourth quarter of 2004 reflect the economic woes that plagued the airline industry throughout 2004 - in particular, high fuel prices and a tough revenue environment,"" he said.American Airlines' parent AMR reported a loss of $387m (£206m) for the fourth quarter of 2004, against a $111m loss for the same period a year earlier.",business
64,"Khodorkovsky ally denies charges
 
 A close associate of former Yukos boss Mikhail Khodorkovsky has told a court that fraud charges levelled against him are ""false"".Mr Khodorkovsky began his testimony last week, telling the court that he objected to the way that the ""running of a normal business has been presented as a work of criminal fiction"".The charges are seen by supporters as politically motivated and part of a drive by Russian President Vladimir Putin to rein in the country's super-rich business leaders, the so-called oligarchs.",business
65,"WorldCom trial starts in New York
 
 The trial of Bernie Ebbers, former chief executive of bankrupt US phone company WorldCom, has started in New York with the selection of the jury.Mr Ebbers' trial, which is expected to last two months, is the latest in a series of attempts by US prosecutors to pursue senior executives for fraud.Mr Ebbers, 63, is accused of being the mastermind behind an $11bn (£6bn) accounting fraud that eventually saw the firm collapse in July 2002.",business
66,"Business fears over sluggish EU economy
 
 As European leaders gather in Rome on Friday to sign the new EU constitution, many companies will be focusing on matters much closer to home - namely how to stay in business.""In our business the market is absolutely global, you can not imagine living with our size (of business) even within an enlarged European Union, (if we did that) we would need not 350 people but perhaps just 150 or 200,"" he says.But how many tourists look at the impressively grand Victorian Chambre de Commerce, which stands beside the Opera House, and consider that it was built - like the town halls in many northern English towns - on the wealth created by coal, steel and textiles?",business
67,unicode error,business
68,"German business confidence slides
 
 German business confidence fell in February knocking hopes of a speedy recovery in Europe's largest economy.Exports had kept things going during the first half of 2004, but demand for exports was then hit as the value of the euro hit record levels making German products less competitive overseas.Economy and Labour Minister Wolfgang Clement called the dip in February's Ifo confidence figure ""a very mild decline"".",business
69,"""So far the evidence suggests that last year's rate increases have helped to rebalance the economy without damaging the recovery in manufacturing,"" said EEF chief economist, Steve Radley.""The Bank is having to juggle the emergence of inflationary pressures, driven by a tight labour market and buoyant commodity prices, against the risk of an over-abrupt slowdown in consumer activity,"" he said.CBI chief economist Ian McCafferty said the economy had ""slowed in recent months in response to rate rises"" but that it was difficult to gauge from the Christmas period the likely pace of activity through the summer.",business
70,"""Such a transformation would eliminate the public-company transparency into the company's operating strategy that is uniquely damaging in a highly competitive industry where Circuit City is going head-to-head with a tough and entrenched rival,"" Highfield said.The retailer is debt free with a good cash flow, despite the fact that it is said to be struggling to keep up with market leader Best Buy and cut-price competition from the likes of Wal-Mart, said Mr Armstrong.
The bid has come from Boston-based private investment firm Highfields Capital Management, which already owns 6.7% of Circuit City's shares.",business
71,"Meanwhile, the Indian Government said the prospects for the country's booming economy remained ""very bright"" despite a ""temporary aberration"" this year.""If the positive trend continues, two-way trade could well cross half a billion dollars this fiscal year,"" India's federal commerce Minister Kamal Nath said.According to official data, the value of India's overall exports in the current fiscal year is expected to reach more than $60bn, while in Pakistan's case it is set to hit more than $12bn.",business
72,"""Therefore, for the full year, at constant currency, EMI Music's sales are now expected to be 8% to 9% lower than the prior year.""EMI shares hit by profit warning
 
 Shares in music giant EMI have sunk by more than 16% after the firm issued a profit warning following disappointing sales and delays to two album releases.EMI said two major albums scheduled for release before the end of the financial year in March - one by Coldplay and one by Gorillaz - have now had their release dates put back.",business
73,"Commentators say that a deal with Euronext, which owns the Liffe derivatives exchange in London and combines the Paris, Amsterdam and Lisbon stock exchanges, could potentially offer the LSE more cost savings than a deal with Deutsche Boerse.A weekend report in the Telegraph had quoted an unnamed executive at Euronext as saying the group would make a cash bid to trump Deutsche Boerse's offer.Euronext joins bid battle for LSE
 
 Pan-European stock market Euronext has approached the London Stock Exchange (LSE) about a possible takeover bid.",business
74,"Although both the Office of the Deputy Prime Minister (ODPM) and the Land Registry figures point to a slowdown in the market, the most recent surveys from Nationwide and Halifax have indicated the market may be undergoing a revival.However, recent figures from the Land Registry - showing a big drop in sales between the last quarter of 2004 and the previous year - suggested the slowdown could be more than a seasonal blip.The average UK house price fell from £180,126 in November to £178,906, reflecting recent Land Registry figures confirming a slowdown in late 2004.",business
75,"Mitsubishi in Peugeot link talks
 
 Trouble-hit Mitsubishi Motors is in talks with French carmaker PSA Peugeot Citroen about a possible alliance.Mitsubishi's sales have slid 41% in the past year, catalysed by the revelation that the company had systematically been hiding records of faults and then secretly repairing vehicles.Analysts said that alliances with other carmakers would be a necessary part of whatever it came up with, not least because its own slow sales have left its manufacturing capacity under-used.
",business
76,"Consumers drive French economy
 
 France's economic growth accelerated in the last three months of 2004, driven by consumer spending, a report shows.""France still has a strong economic growth,"" said Marc Toutai, an economist at Natexis Banques Populaires.""It's an economic growth that seems well balanced,"" said Nicolas Claquin, an analyst at CCF.",business
77,unicode error,business
78,"India power shares jump on debut
 
 Shares in India's largest power producer, National Thermal Power Corp (NTPC) have risen 13% on their stock market debut.It was India's second $1bn stock debut in three months, coming after the flotation by software firm Tata.NTPC has said it will use the money from the share sale to feed the growing needs of the country's energy-starved economy.",business
79,"Europe asks Asia for euro help
 
 European leaders say Asian states must let their currencies rise against the US dollar to ease pressure on the euro.""Asia should engage in greater currency flexibility,"" said French finance minister Herve Gaymard, after a meeting with his German counterpart Hans Eichel.Markets responded by pushing the euro lower, in the expectation that the rhetoric - and the pressure - is unlikely to ease ahead of a meeting of the G7 industrialised countries next week.",business
80,unicode error,business
81,"Dollar hits new low versus euro
 
 The US dollar has continued its record-breaking slide and has tumbled to a new low against the euro.Investors are betting that the European Central Bank (ECB) will not do anything to weaken the euro, while the US is thought to favour a declining dollar.The US is struggling with a ballooning trade deficit and analysts said one of the easiest ways to fund it was by allowing a depreciation of the dollar.",business
82,"China continues breakneck growth
 
 China's economy has expanded by a breakneck 9.5% during 2004, faster than predicted and well above 2003's 9.1%.And overall investment in fixed assets was still high, up 21.3% from the previous year - although some way off the peak of 43% seen in the first quarter of 2004.Growth in industrial output - the main target of government efforts to impose curbs on credit and investments - was 11.5% in 2004, down from 17% the previous year.",business
83,"GM pays $2bn to evade Fiat buyout
 
 General Motors of the US is to pay Fiat 1.55bn euros ($2bn; £1.1bn) to get out of a deal which could have forced it to buy the Italian car maker outright.Instead, GM swapped a 6% stake in itself for 20% of Fiat - and gave Fiat a ""put option"" to sell GM the rest of the car maker between January 2004 and July 2009.""We needed scale in Europe to get costs down, and we were able to do that in working with Fiat,"" said GM chief executive Rick Wagoner.",business
84,"Crude oil prices back above $50
 
 Cold weather across parts of the United States and much of Europe has pushed US crude oil prices above $50 a barrel for the first time in almost three months.""I agree that we do not need to cut supply if the prices are as much as this,"" Fathi Bin Shatwan, Libya's oil minister, told Reuters.""The dollar moved sharply overnight and oil is following it,"" said Chris Furness, senior market strategist at 4Cast.",business
85,"National Bank of Kuwait has bought a majority stake in Credit Bank of Iraq, the Jordanian investment bank Export & Finance Bank has bought 49% of National Bank of Iraq.""First rule of law, then the economy,"" says Radwan Hadi, deputy managing director of Aberdeen-based oil and gas consultancy Blackwatch Petroleum Services, which entered Iraq in 2003.""It is seen as a selling off of Iraq's assets and bringing in multinationals at the expense of Iraqi businesses and Iraqi workers,"" she says.",business
86,"""China won't allow any new tobacco factories to be built, including joint ventures"", said Xing Wangli, a spokesman for the State Tobacco Administration Monopoly quoted in China Daily.China bans new tobacco factories
 
 The world's biggest tobacco consumer, China, has said it will not allow any new tobacco factories to be built.""Xing's statement comes as especially bad news for British American Tobacco"", the China Daily newspaper said of the latest development.",business
87,"India and Iran in gas export deal
 
 India has signed a $40bn (£21bn) deal to import millions of tonnes of liquefied natural gas from Iran.Iran - Opec's second-biggest oil producer and one of the world's top gas producers - has been pursuing a series of deals, rewarding LNG buyers with participation in development of its oil fields.The agreements with Iran were sealed after talks in New Delhi between Middle East producers and Asia's biggest energy consumers - China, India, Japan and South Korea.",business
88,unicode error,business
89,"Egypt and Israel seal trade deal
 
 In a sign of a thaw in relations between Egypt and Israel, the two countries have signed a trade protocol with the US, allowing Egyptian goods made in partnership with Israeli firms free access to American markets.Egyptian President Hosni Mubarak has described Israeli Prime Minister Ariel Sharon as the best chance for the Palestinians to achieve peace.Products from these zones will enjoy duty free access to the US, provided that 35% of their components are the product of Israeli-Egyptian cooperation.",business
90,"Crossrail link 'to get go-ahead'
 
 The £10bn Crossrail transport plan, backed by business groups, is to get the go-ahead this month, according to The Mail on Sunday.Jeremy de Souza, a spokesman for Crossrail, said on Sunday he could not confirm whether the Treasury was planning to invest £7.5bn or when the bill would go before Parliament.The new line would go out as far as Maidenhead, Berkshire, to the west of London, and link Heathrow to Canary Wharf via the City.",business
91,"Mr Vaile, who was quoted in the Australian Financial Review, compared Xstrata's attempt to take over WMC to a similar bid by oil giant Shell for Australia's Woodside Petroleum in 2001.WMC profits up amid bid criticism
 
 Australian mining firm WMC Resources has seen a fivefold rise in profits while continuing to be the target of a hostile takeover bid.WMC said it made net profits of 1.33bn Australian dollars ($1bn; £550m) in 2004, up from A$246bn the year before.",business
92,"""The data is favourable, but a lot of jobs are temporary for the (Christmas) holiday season, so we may see slightly higher joblessness in January and February,"" Julio Hegedus, chief economist with Lopes Filho & Associates consultancy in Rio de Janeir, told Reuters news agency.Despite his leftist background, President Lula has pursued a surprisingly conservative economic policy, arguing that in order to meet its social promises, the government needs to first reach a sustained economic growth.This improvement can be attributed to the country's strong economic growth, with the economy registering growth of 5.2% in 2004, the government said.",business
93,"Rescue hope for Borussia Dortmund
 
 Shares in struggling German football club Borussia Dortmund slipped on Monday despite the club agreeing a rescue plan with creditors on Friday.On 14 March, one of these creditors - property investment fund Molsiris which owns the club's stadium - holds its AGM at which it will discuss the rescue plan.In addition to the interest-payment freeze, Borussia Dortmund also will get short-term loans to help pay salaries.",business
